race_id,season,round,race_name,date,time,circuit_id
1950_1,1950,1,British Grand Prix,5/13/1950,,silverstone
1950_2,1950,2,Monaco Grand Prix,5/21/1950,,monaco
1950_3,1950,3,Indianapolis 500,5/30/1950,,indianapolis
1950_4,1950,4,Swiss Grand Prix,6/4/1950,,bremgarten
1950_5,1950,5,Belgian Grand Prix,6/18/1950,,spa
1950_6,1950,6,French Grand Prix,7/2/1950,,reims
1950_7,1950,7,Italian Grand Prix,9/3/1950,,monza
1951_1,1951,1,Swiss Grand Prix,5/27/1951,,bremgarten
1951_2,1951,2,Indianapolis 500,5/30/1951,,indianapolis
1951_3,1951,3,Belgian Grand Prix,6/17/1951,,spa
1951_4,1951,4,French Grand Prix,7/1/1951,,reims
1951_5,1951,5,British Grand Prix,7/14/1951,,silverstone
1951_6,1951,6,German Grand Prix,7/29/1951,,nurburgring
1951_7,1951,7,Italian Grand Prix,9/16/1951,,monza
1951_8,1951,8,Spanish Grand Prix,10/28/1951,,pedralbes
1952_1,1952,1,Swiss Grand Prix,5/18/1952,,bremgarten
1952_2,1952,2,Indianapolis 500,5/30/1952,,indianapolis
1952_3,1952,3,Belgian Grand Prix,6/22/1952,,spa
1952_4,1952,4,French Grand Prix,7/6/1952,,essarts
1952_5,1952,5,British Grand Prix,7/19/1952,,silverstone
1952_6,1952,6,German Grand Prix,8/3/1952,,nurburgring
1952_7,1952,7,Dutch Grand Prix,8/17/1952,,zandvoort
1952_8,1952,8,Italian Grand Prix,9/7/1952,,monza
1953_1,1953,1,Argentine Grand Prix,1/18/1953,,galvez
1953_2,1953,2,Indianapolis 500,5/30/1953,,indianapolis
1953_3,1953,3,Dutch Grand Prix,6/7/1953,,zandvoort
1953_4,1953,4,Belgian Grand Prix,6/21/1953,,spa
1953_5,1953,5,French Grand Prix,7/5/1953,,reims
1953_6,1953,6,British Grand Prix,7/18/1953,,silverstone
1953_7,1953,7,German Grand Prix,8/2/1953,,nurburgring
1953_8,1953,8,Swiss Grand Prix,8/23/1953,,bremgarten
1953_9,1953,9,Italian Grand Prix,9/13/1953,,monza
1954_1,1954,1,Argentine Grand Prix,1/17/1954,,galvez
1954_2,1954,2,Indianapolis 500,5/31/1954,,indianapolis
1954_3,1954,3,Belgian Grand Prix,6/20/1954,,spa
1954_4,1954,4,French Grand Prix,7/4/1954,,reims
1954_5,1954,5,British Grand Prix,7/17/1954,,silverstone
1954_6,1954,6,German Grand Prix,8/1/1954,,nurburgring
1954_7,1954,7,Swiss Grand Prix,8/22/1954,,bremgarten
1954_8,1954,8,Italian Grand Prix,9/5/1954,,monza
1954_9,1954,9,Spanish Grand Prix,10/24/1954,,pedralbes
1955_1,1955,1,Argentine Grand Prix,1/16/1955,,galvez
1955_2,1955,2,Monaco Grand Prix,5/22/1955,,monaco
1955_3,1955,3,Indianapolis 500,5/30/1955,,indianapolis
